Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
4984;"USB";"FSK";"9PM";;"T1";;;;;;
4996;"CWN";"RWM RUS";"time signal, 6AM";;"T1";;;;;;
5000;"AM";"WWVH / WWV";"time signals";;"T1";;;;;;
5000;"AM";"BPM";"time signal";;"T1";;;;;;
5082;"USB";"FAX";"1AM";;"T1";;;;;;
5084.3;"USB";"PACTOR";"11PM";;"T1";;;;;;
5099;"USB";"FAX VMC AUS";"8AM";;"T1";;;;;;
5104;"CW";"FSK";"6AM";;"T1";;;;;;
5112;"USB";"FSK?";"10PM";;"T1";;;;;;
5118;"CW";"FSK";"1AM";;"T1";;;;;;
5125;"USB";"OTHR";"1AM";;"T1";;;;;;
5152;"CW";"FSK";"6AM";;"T1";;;;;;
5153.8;"CWN";"P marker";"Kaliningrad RUS, 6AM";;"T1";;;;;;
5154;"CWN";"C marker";"Moscow RUS, 6AM";;"T1";;;;;;
5154.2;"CWN";"F marker";"Vladivostok RUS, 6AM, 10PM";;"T1";;;;;;
5154.4;"CWN";"M marker";"Magadan RUS, 6AM, 10PM";;"T1";;;;;;
5154.5;"LSB";"LINK-11";"11PM";;"T1";;;;;;
5156.8;"CWN";"L marker";"RUS, 5AM";;"T1";;;;;;
5170;"USB";"Computer voice, Asian";"6AM";;"T1";;;;;;
5174.5;"USB";"FSK";"6AM";;"T1";;;;;;
5177;"CW";"FSK";"6AM";;"T1";;;;;;
5183.25;"USB";"STANAG";"8PM";;"T1";;;;;;
5220;"USB";"OTHR";"slow, 2AM";;"T1";;;;;;
5234;"CW";"FSK";"7PM";;"T1";;;;;;
5253.5;"USB";"FSK";"1AM";;"T1";;;;;;
5260;"USB";"OTHR";"slower than the other early-morning OTHRs, 10PM";;"T1";;;;;;
5269;"CW";"FSK";"6AM";;"T1";;;;;;
5287.2;"USB";"WSPR";;;"T2";;;;;;
5292.73;"CWN";"D/B marker";"RUS, watchlist";;"T1";;;;;;
5302.5;"USB";"FSK";"10PM";;"T1";;;;;;
5315;"USB";"OTHR";"1AM";;"T1";;;;;;
5317;"CW";"FSK";"6AM";;"T1";;;;;;
5330.5;"USB";"FSK";"10PM";;"T1";;;;;;
5338.5;"USB";"FSK";"10PM";;"T1";;;;;;
5370;"CWN";"CW";"5AM";;"T1";;;;;;
5376;"CW";"CW";"7AM";;"T1";;;;;;
5380;"USB";"OTHR";"slow, 2AM";;"T1";;;;;;
5383;"USB";"strange digital";"10PM";;"T1";;;;;;
5392.3;"USB";"CIS-12 RUS";"10PM";;"T1";;;;;;
5450;"USB";"OTHR";"med, 2AM";;"T1";;;;;;
5465.9;"CWN";"R marker";"RUS, watchlist";;"T1";;;;;;
5496.8;"USB";"8-chan FSK JPN";"10PM";;"T1";;;;;;
5500;"CWN";"CW";"10PM";;"T1";;;;;;
5508;"USB";"HFDL";"10PM";;"T1";;;;;;
5514;"USB";"HFDL";"1AM";;"T1";;;;;;
5549;"USB";"FSK";"7AM";;"T1";;;;;;
5555.5;"USB";"FSK";"7AM";;"T1";;;;;;
5556;"CW";"CW";"12AM";;"T1";;;;;;
5557;"USB";"STANAG 4197";"4-tone + burst, 12AM";;"T1";;;;;;
5566;"CW";"CW";"12AM";;"T1";;;;;;
5574;"USB";"MWARA CEP-1";"Major World Air Route Areas, SF USA";;"T1";;;;;;
5583;"USB";"HFDL";;;"T1";;;;;;
5588;"CWN";"2SLC CHN";"10PM";;"T1";;;;;;
5643;"USB";"MWARA SP";"Major World Air Route Areas, South Pacific";;"T1";;;;;;
5648.5;"USB";"FSK";"11PM";;"T1";;;;;;
5652;"USB";"HFDL";"NY USA GS-04, 11PM";;"T1";;;;;;
5656;"CWN";"CW";"10PM";;"T1";;;;;;
5691;"USB";"FSK";"1AM";;"T1";;;;;;
5705.15;"CW";"chirpy CW";"7AM";;"T1";;;;;;
5717.3;"USB";"CIS-12 RUS";"idling carriers, 1AM";;"T1";;;;;;
5737;"CW";"FSK";"7AM";;"T1";;;;;;
5740;"USB";"OTHR";"1AM";;"T1";;;;;;
5750;"CWN";"CW";"weak, 1AM";;"T1";;;;;;
5754;"USB";"FAX";"1AM";;"T1";;;;;;
5759;"CW";"CW";"1AM";;"T1";;;;;;
5770;"USB";"OTHR";"slower than the other early-morning OTHRs, 6AM";;"T1";;;;;;
5776;"CW";"FSK";"1AM";;"T1";;;;;;
5790;"USB";"OTHR";"med, 2AM";;"T1";;;;;;
5813;"CW";"CW";"1AM";;"T1";;;;;;
5828.5;"USB";"STANAG-like";"2AM";;"T1";;;;;;
5837;"CWN";"CW";"10PM";;"T1";;;;;;
5840;"USB";"OTHR";"med, 2AM";;"T1";;;;;;
5844.3;"USB";"CIS-12 RUS";"1AM";;"T1";;;;;;
5852;"CWN";"CW";"weak, 1AM";;"T1";;;;;;
5869;"USB";"STANAG 4529";"6AM";;"T1";;;;;;
